Scouter Name,Team #,Alliance,Match Number,Quaification Match,Quarterfinal Match,Semifinal Match,Final Match,Starting Level,Hatches Level 1,Hatches Level 2,Hatches Level 3,Cargo Level 1,Cargo Level 2,Cargo Level 3,Endgame Level 1,Endgame Level 2,Endgame Level 3,Robot Disabled,Robot Carry Level 1,Robot Carry Level 2,Robot Carry Level 3
zac,2046,Blue,1,Yes,No,No,No,02,2,2,2,2,2,4,0,0,1,0,0,0,0
ivan,2992,Red,1,Yes,No,No,No,1,0,0,0,3,0,0,0,0,1,0,1,0,0
bella,6885,Red,1,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0
mikayla,5803,Blue,2,Yes,No,No,No,2,3,0,0,1,0,0,0,0,1,0,0,0,0
bella,2976,Red,2,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
zac,4013,Blue,2,Yes,No,No,No,2,0,0,0,4,0,0,1,0,1,0,0,0,0
Alyssa,4499,Red,2,Yes,No,No,No,2,1,0,0,1,0,0,0,1,0,0,0,0,0STOPPER
bella,7461,Red,3,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
mikayla,4910,Blue,3,Yes,No,No,No,2,4,0,0,0,0,0,1,0,1,0,0,0,0
zac,691,Blue,3,Yes,No,No,No,2,3,0,0,0,0,0,1,0,0,0,0,0,0
JVD,1899,Blue,3,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mikayla,7607,Blue,4,Yes,No,No,No,2,0,0,0,1,0,0,1,0,1,0,0,0,0
bella,6988,Red,4,Yes,No,No,No,1,2,0,0,5,0,0,1,1,0,0,0,0,0
JVD,6704,Blue,4,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zac,7447,Blue,4,Yes,No,No,No,2,0,0,0,4,0,0,0,1,0,0,0,0,0
Alyssa,4550,Red,4,Yes,No,No,No,1,0,0,0,2,0,0,0,0,0,0,0,0,0
JVD,6838,Blue,5,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bella,6506,Red,5,Yes,No,No,No,2,0,0,0,2,0,0,0,1,0,0,0,0,0
ivan,4192,Red,5,Yes,No,No,No,2,2,0,0,0,0,0,0,0,1,0,0,0,0
mikayla,7787,Blue,5,Yes,No,No,No,1,1,0,0,1,0,0,0,0,1,1,0,0,0
zac,3946,Blue,5,Yes,No,No,No,2,0,0,0,2,0,0,1,0,0,0,0,0,1
Alyssa,6907,Red,5,Yes,No,No,No,1,1,0,0,0,0,0,0,1,0,0,0,0,0
zac,5887,Blue,6,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bella,1987,Red,6,Yes,No,No,No,2,1,0,0,7,0,0,1,0,0,0,0,0,0
mikayla,4043,Blue,6,Yes,No,No,No,1,3,0,0,2,0,0,1,0,0,0,0,0,0
ivan,7635,Red,5,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alyssa,6064,Red,6,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,1,0,0,0
JVD,1311,Blue,6,Yes,No,No,No,2,4,0,0,4,0,0,0,0,0,0,0,0,0
Alyssa,6064,Red,6,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,1,0,0,0
Alyssa,6064,Red,6,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,1,0,0,0
Alyssa,6064,Red,6,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,1,0,0,0
mikayla,7433,Blue,7,Yes,No,No,No,1,1,0,0,1,0,0,0,0,1,0,0,0,0
ivan,5013,Red,7,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0
zac,3824,Blue,7,Yes,No,No,No,2,0,0,0,0,0,0,0,1,0,0,0,0,0
bella,6413,Red,7,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,6919,Red,7,Yes,No,No,No,1,2,0,0,0,0,0,1,0,0,0,0,0,0
JVD,3476,Blue,7,Yes,No,No,No,1,2,2,2,5,2,2,1,0,0,0,0,0,0
zac,832,Blue,8,Yes,No,No,No,1,1,0,0,4,0,0,0,1,0,0,0,0,0
mikayla,3616,Blue,8,Yes,No,No,No,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,5700,Red,8,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
Alyssa,5700,Red,8,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
JVD,7443,Blue,8,Yes,No,No,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0
bella,6814,Red,8,Yes,No,No,No,1,6,0,0,0,0,0,0,0,0,0,1,0,0
ivan,2714,Red,8,Yes,No,No,No,2,2,0,0,3,0,0,1,0,0,0,0,0,0
mikayla,59,Blue,9,Yes,No,No,No,2,5,0,0,4,0,0,1,0,0,0,0,0,0
Alyssa,4183,Red,9,No,No,No,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0
ivan,1477,Red,9,Yes,No,No,No,2,4,0,0,2,0,0,1,0,0,0,0,0,0
zac,3635,Blue,9,Yes,No,No,No,01,1,0,0,3,0,0,1,0,0,0,0,0,0
JVD,7427,Blue,9,Yes,No,No,No,1,1,0,0,0,0,0,0,0,1,0,0,0,0
bella,2441,Red,9,Yes,No,No,No,2,0,0,0,5,0,0,0,0,0,0,0,0,1
bella,2634,Red,10,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,2710,Red,10,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
ivan,5022,Red,10,Yes,No,No,No,1,5,0,0,0,0,0,1,0,0,0,0,0,0
mikayla,1425,Blue,10,Yes,No,No,No,2,1,2,2,1,0,0,0,0,1,0,0,0,0
zac,2357,Blue,10,Yes,No,No,No,01,3,0,0,4,0,0,1,0,0,0,0,0,0
JVD,3663,Blue,10,Yes,No,No,No,1,1,0,0,4,0,0,1,0,0,0,0,0,0
bella,3794,Red,11,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssa,4063,Red,11,Yes,No,No,No,2,1,0,0,0,0,0,0,0,1,1,0,0,0
ivan,3834,Red,11,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
null,null,null,null,null,null,null,null,2,1,0,0,0,0,0,1,0,0,0,0,0,0
mikayla,4087,Blue,11,No,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
JVD,744,Blue,11,Yes,No,No,No,1,2,0,0,0,0,0,1,0,0,0,0,0,0
mikayla,2992,Blue,12,No,No,No,No,2,1,0,0,2,0,0,0,0,1,0,0,0,0
bella,1671,Red,12,Yes,No,No,No,2,1,0,0,3,0,0,0,0,1,0,0,0,0
Alyssa,7787,Red,12,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zac,7451,Blue,12,No,No,No,No,1,2,1,2,0,0,0,0,1,0,0,0,0,0
ivan,3735,Red,12,No,No,No,No,2,4,0,0,0,0,0,0,0,0,0,0,0,0
JVD,1987,Blue,12,Yes,No,No,No,2,0,0,0,1,1,0,0,0,0,0,0,0,0
mikayla,4499,Blue,13,No,No,No,No,2,2,0,0,3,0,0,0,0,1,0,0,0,0
ivan,7461,Red,13,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bella,6064,Red,13,Yes,No,No,No,2,4,0,0,2,0,0,0,1,1,0,0,0,0
Sarah C,4192,Blue,13,Yes,No,No,No,2,2,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,2046,Red,13,Yes,No,No,No,2,2,0,0,3,0,0,0,0,0,0,0,0,0
JVD,6988,Blue,13,Yes,No,No,No,1,0,0,0,3,0,0,1,0,0,0,0,0,0
JVD,3616,Blue,14,Yes,No,No,No,2,2,0,0,0,0,0,1,0,0,0,0,0,0
mikayla,4013,Blue,14,No,No,No,No,1,1,0,0,4,0,0,0,1,0,0,0,0,0
Sarah C,6506,Blue,14,Yes,No,No,No,2,0,0,0,4,0,0,0,0,0,0,0,0,0
Alyssa,1311,Red,14,Yes,No,No,No,2,1,2,0,2,0,0,1,0,0,0,0,0,0
ivan,7433,Red,14,Yes,No,No,No,1,1,0,0,4,0,0,0,0,1,0,0,0,0
hailey,6685,Blue,15,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Daphne,2710,Blue,15,Yes,No,No,No,1,0,0,0,6,0,0,0,1,0,0,0,0,0
Alyssa,3476,Red,15,Yes,No,No,No,1,2,2,2,3,2,2,1,0,0,0,0,0,0
Kelly,6814,Red,15,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Kelly,6814,Red,15,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ethan,5803,Blue,16,Yes,No,No,No,2,3,0,0,4,0,0,0,0,1,0,1,0,0
Courtney,5887,Red,16,No,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Daphne,744,Blue,16,Yes,No,No,No,1,0,2,0,0,0,0,0,0,0,1,0,0,0
Kelly,5022,Red,16,Yes,No,No,No,1,3,0,0,1,0,0,1,0,0,0,0,0,0
hailey,7427,Blue,16,No,No,No,No,1,1,0,0,3,0,0,1,0,0,0,0,0,0
Courtney,6919,Red,17,Yes,No,No,No,1,3,0,0,0,0,0,0,0,1,0,0,0,0
Alyssa,2158,Red,17,No,No,No,No,2,0,0,0,4,0,0,1,0,0,0,0,0,0
hailey,832,Blue,17,Yes,No,No,No,1,0,0,0,2,0,0,0,0,1,0,0,0,0
Daphne,6934,Blue,17,Yes,No,No,No,0,0,0,0,0,0,0,1,0,0,0,1,0,0
grant Cozzi,2441,Blue,17,Yes,No,No,No,2,0,0,0,0,0,0,1,0,1,0,0,0,0
Kelly,4087,Red,17,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Courtney,2357,Red,18,Yes,No,No,No,1,1,1,0,2,0,0,1,0,1,0,0,0,0
Kelly,2438,Red,18,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,3635,Red,18,No,No,No,No,1,2,0,0,5,0,0,1,0,0,0,0,0,0
Daphne,7607,Blue,18,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
grant Cozzi,3834,Blue,18,No,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
null,null,null,null,null,null,null,null,2,3,0,0,2,0,0,1,0,0,0,0,0,0
null,null,null,null,null,null,null,null,2,3,0,0,2,0,0,1,0,0,0,0,0,0
null,null,null,null,null,null,null,null,2,3,0,0,2,0,0,1,0,0,0,0,0,0
null,null,null,null,null,null,null,null,2,3,0,0,2,0,0,1,0,0,0,0,0,0
Alyssa,5013,Red,19,Yes,No,No,No,2,0,0,0,6,0,0,1,0,0,0,0,0,0
Courtney,1072,Red,19,Yes,No,No,No,2,4,0,0,2,0,0,1,0,1,0,0,0,0
Kelly,6704,Red,19,Yes,No,No,No,1,1,0,0,0,0,0,0,0,0,1,0,0,0
hailey,4020,Blue,19,Yes,No,No,No,1,1,0,0,5,0,0,0,0,1,0,0,0,0
grant Cozzi,6838,Blue,19,Yes,No,No,No,2,0,0,0,5,0,0,1,0,0,0,0,0,0
hailey,5700,Blue,18,Yes,No,No,No,2,3,0,0,2,0,0,1,0,0,0,0,0,0
Daphne,3794,Blue,19,Yes,No,No,No,2,0,1,2,0,0,0,0,0,0,0,0,0,0
Courtney,2122,Red,20,Yes,No,No,No,1,1,2,2,1,1,1,0,1,0,0,0,0,0
Daphne,6907,Blue,20,Yes,No,No,No,1,0,0,0,9,0,0,0,1,0,0,0,0,0
hailey,6413,Blue,20,No,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,1425,Red,20,Yes,No,No,No,1,2,0,0,4,1,0,0,0,1,0,0,0,0
grant Cozzi,3735,Blue,20,Yes,No,No,No,2,6,0,0,1,0,0,0,1,0,0,0,0,0
Kelly,1477,Red,20,Yes,No,No,No,2,3,0,0,2,0,1,0,1,0,0,0,0,0
grant Cozzi,4063,Blue,21,Yes,No,No,No,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Alyssa,3663,Red,21,Yes,No,No,No,2,0,1,0,8,0,0,0,0,1,0,0,0,0
Courtney,59,Red,21,Yes,No,No,No,2,2,3,0,0,0,0,0,1,0,0,0,0,0
Kelly,4043,Red,21,Yes,No,No,No,1,4,0,0,4,0,0,1,0,0,0,0,0,0
Kelly,4043,Red,21,Yes,No,No,No,1,4,0,0,4,0,0,1,0,0,0,0,0,0
Kelly,4043,Red,21,Yes,No,No,No,1,4,0,0,4,0,0,1,0,0,0,0,0,0
Daphne,7121,Blue,21,Yes,No,No,No,2,1,0,0,6,0,0,0,0,1,0,0,0,0
hailey,2714,Blue,21,Yes,No,No,No,2,0,2,2,1,0,2,0,0,1,0,0,0,0
Daphne,2637,Blue,22,Yes,No,No,No,2,0,0,0,3,0,0,0,1,0,0,0,0,0
Courtney,2976,Red,22,Yes,No,No,No,1,3,2,2,2,1,0,1,0,0,0,0,0,0
Alyssa,4183,Red,22,Yes,No,No,No,1,1,0,0,5,0,0,0,0,1,0,0,0,0
grant Cozzi,691,Blue,22,Yes,No,No,No,2,2,3,0,0,0,0,1,0,0,0,0,0,0
hailey,7451,Blue,22,Yes,No,No,No,2,3,0,0,0,0,0,1,0,0,0,0,0,0
Kelly,3824,Red,22,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Daphne,5887,Blue,23,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Courtney,4499,Red,23,Yes,No,No,No,2,3,0,0,2,0,0,0,0,1,0,0,0,0
hailey,6485,Blue,23,Yes,No,No,No,2,2,0,0,2,0,0,1,0,0,0,0,0,0
Kelly,7443,Red,23,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,4550,Red,23,Yes,No,No,No,1,1,0,0,3,0,0,1,0,0,0,0,0,0
Grant Cozzi,3964,Blue,23,No,No,No,No,2,0,0,0,4,0,0,0,1,0,0,0,0,0
Daphne,2441,Blue,24,No,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Alyssa,4192,Red,24,Yes,No,No,No,2,2,0,0,1,0,0,0,1,0,0,0,0,0
Courtney,7635,Red,24,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,1,0,0,0
hailey,7461,Blue,24,Yes,No,No,No,2,0,0,0,2,0,0,0,1,0,0,0,0,0
Courtney,6064,Red,25,Yes,No,No,No,2,0,0,0,6,0,0,0,1,0,0,0,0,0
kelly,3616,Red,25,No,No,No,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Daphne,6907,Blue,25,Yes,No,No,No,1,2,0,0,6,0,0,0,0,0,0,0,0,0
Alyssa,3735,Red,25,No,No,No,No,2,4,1,0,1,0,0,0,1,0,0,0,0,0
hailey,3476,Blue,25,Yes,No,No,No,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Grant,4087,Blue,25,Yes,No,No,No,2,1,0,0,0,0,0,0,0,1,0,0,0,0
hailey,1671,Red,24,Yes,No,No,No,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Courtney,7427,Red,26,Yes,No,No,No,1,5,0,0,0,1,0,1,0,0,0,0,0,0
Daphne,6704,Blue,26,Yes,No,No,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0
kelly,6413,Red,26,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,832,Red,26,Yes,No,No,No,1,0,1,0,2,0,1,1,0,0,0,0,0,0
hailey,6506,Blue,26,Yes,No,No,No,2,0,0,0,1,0,0,1,0,0,1,0,0,0
Alyssa,6838,Red,27,Yes,No,No,No,2,0,0,0,5,1,0,1,0,0,0,0,0,0
kelly,4910,Red,27,No,No,No,No,1,3,2,0,2,1,0,0,0,1,0,0,0,0
Courtney,3834,Red,27,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
hailey,59,Blue,27,Yes,No,No,No,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Daphne,2714,Blue,27,Yes,No,No,No,2,1,0,1,3,0,0,1,0,0,0,0,0,0
Grant,5022,Blue,27,Yes,No,No,No,2,1,0,0,3,0,0,1,0,0,0,0,0,0
Daphne,2710,Blue,28,Yes,No,No,No,2,0,0,0,3,0,0,0,1,0,0,0,0,0
kelly,2438,Red,28,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0
hailey,4043,Blue,28,Yes,No,No,No,1,5,0,0,4,0,0,1,0,0,0,0,0,0
Courtney,7787,Red,28,Yes,No,No,No,2,0,0,0,4,0,0,1,0,0,0,0,0,0
Alyssa,691,Red,28,Yes,No,No,No,2,4,1,0,0,0,0,1,0,0,0,0,0,0
Grant,7044,Blue,28,Yes,No,No,No,0,1,0,0,0,0,0,1,0,0,0,0,0,0
brett,1477,Blue,29,No,No,No,No,2,1,0,0,3,0,0,0,0,1,0,0,0,0
ricky ,7451,Red,29,Yes,No,No,No,2,2,1,1,0,0,0,1,0,0,0,0,0,0
Antonio,2976,Red,29,Yes,No,No,No,1,3,0,0,3,0,0,0,0,0,0,0,0,0
michael,5700,Blue,29,Yes,No,No,No,2,1,0,0,2,0,0,1,0,0,1,0,0,0
Ram,2168,Blue,29,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio,7433,Red,30,Yes,No,No,No,1,1,0,0,4,0,0,0,0,1,0,0,0,0
michael,1425,Blue,30,Yes,No,No,No,2,2,0,0,3,0,0,0,0,1,0,0,0,0
Ram,4550,Blue,30,Yes,No,No,No,1,2,0,0,2,0,0,0,0,0,0,0,0,0
brett,6934,Blue,30,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
donald,3635,Red,30,Yes,No,No,No,01,2,0,0,0,0,0,1,0,1,0,0,0,0
ricky ,4013,Red,30,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio,6919,Red,31,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Antonio,2357,Red,32,Yes,No,No,No,1,2,0,0,2,0,0,1,0,0,0,0,0,0
brett,2992,Blue,32,Yes,No,No,No,2,0,0,0,3,0,0,0,1,0,0,0,0,0
fernando,1899,Red,32,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ricky,2122,Red,32,Yes,No,No,No,0,2,2,1,0,2,2,0,0,1,0,0,0,0
Ram,4183,Blue,32,Yes,No,No,No,1,0,0,0,3,0,0,0,0,0,0,1,0,0
Ram,6814,Blue,33,Yes,No,No,No,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Antonio,6485,Red,33,Yes,No,No,No,1,2,2,0,3,0,0,1,0,0,0,0,0,0
maverick,7447,Blue,33,Yes,No,No,No,2,1,0,0,4,0,0,1,0,1,0,0,0,0
ricky,2637,Red,33,Yes,No,No,No,2,1,0,0,3,0,0,0,1,0,0,0,0,0
brett,3794,Blue,33,Yes,No,No,No,1,0,1,0,0,0,0,1,0,0,0,0,0,0
fernando,7607,Red,33,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,1,0,0,0
brett,1072,Blue,34,Yes,No,No,No,2,2,0,0,2,0,0,0,0,0,0,0,0,0
Ram,6988,Blue,34,Yes,No,No,No,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Antonio,1311,Red,34,Yes,No,No,No,1,2,0,2,1,1,1,0,0,0,0,0,0,0
fernando,744,Red,34,Yes,No,No,No,1,2,2,1,1,2,1,1,0,1,0,0,0,0
ricky,3824,Red,34,Yes,No,No,No,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Ivan,7121,Blue,34,Yes,No,No,No,1,3,0,0,3,0,0,1,0,0,0,0,0,0
Antonio,4499,Red,35,Yes,No,No,No,2,1,0,0,5,0,0,0,1,0,0,0,0,0
ricky,4087,Red,35,Yes,No,No,No,2,3,0,0,0,0,0,0,0,1,0,0,0,0
Ivan,5022,Blue,37,No,No,No,No,1,2,0,0,5,0,0,0,0,0,0,0,0,0
brett,6064,Blue,36,No,No,No,No,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Ram,59,Red,36,Yes,No,No,No,0,2,0,0,2,2,1,0,0,0,0,0,0,0
Antonio,2976,Red,36,Yes,No,No,No,1,2,2,2,0,0,1,0,0,0,0,0,0,0
Ram,7433,Blue,34,Yes,No,No,No,1,1,0,0,1,0,0,0,0,0,0,0,0,0
brett,6506,Blue,40,Yes,No,No,No,2,0,0,0,1,0,0,1,0,0,1,0,0,0
fernando,3824,Red,40,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Antonio,3794,Red,40,Yes,No,No,No,1,3,1,1,0,0,0,1,0,0,0,0,0,0
Ram,1425,Blue,40,Yes,No,No,No,1,2,0,0,2,0,0,1,0,0,0,0,0,0
Antonio,6919,Red,41,No,No,No,No,1,1,0,0,0,0,0,0,0,1,0,0,0,0
brett,3735,Blue,41,Yes,No,No,No,2,0,0,0,1,0,0,0,1,0,0,0,0,0
ricky,7447,Red,34,Yes,No,No,No,2,1,0,0,3,0,0,1,0,0,0,0,0,0
