Scouter Name,Team #,Alliance,Match Number,Quaification Match,Quarterfinal Match,Semifinal Match,Final Match,Starting Level,Hatches Level 1,Hatches Level 2,Hatches Level 3,Cargo Level 1,Cargo Level 2,Cargo Level 3,Endgame Level 1,Endgame Level 2,Endgame Level 3,Robot Disabled,Robot Carry Level 1,Robot Carry Level 2,Robot Carry Level 3
Ram,2357,Blue,41,Yes,No,No,No,1,0,0,0,4,0,0,1,0,0,0,0,0,0
fernando,691,Red,41,No,No,No,No,2,3,0,0,0,0,0,1,0,0,0,0,0,0
michael,2992,Blue,41,Yes,No,No,No,2,2,1,0,1,0,0,1,0,0,0,0,0,0
Antonio,1072,Red,42,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
brett,6485,Blue,42,Yes,No,No,No,1,0,0,0,5,0,0,1,0,0,0,0,0,0STOPPER
ricky,4910,Red,42,Yes,No,No,No,1,3,2,0,3,0,0,0,0,0,0,0,0,0
Ram,6704,Blue,42,Yes,No,No,No,1,2,0,0,0,0,0,1,0,0,0,0,0,0
michael,2122,Blue,42,Yes,No,No,No,1,2,2,2,3,0,0,1,0,0,0,0,0,0
Jon,3476,Red,43,Yes,No,No,No,1,2,2,2,2,2,2,1,0,0,0,0,0,0
skyler,7461,Blue,43,Yes,No,No,No,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Courtney,6838,Blue,43,Yes,No,No,No,2,0,0,0,10,0,0,1,0,0,0,0,0,0
sarah c,1987,Red,43,Yes,No,No,No,2,2,0,0,3,0,0,0,1,0,0,0,0,0
hailey,2637,Red,43,No,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
ethan,4013,Blue,43,No,No,No,No,2,3,0,0,0,0,0,1,0,0,0,0,0,0
sarah c,7787,Red,44,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
skyler,7607,Blue,44,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Courtney,7121,Blue,44,Yes,No,No,No,2,0,0,0,8,0,0,1,0,0,0,0,0,0
Jon,5013,Red,44,Yes,No,No,No,1,1,0,0,3,0,0,0,0,1,0,0,0,0
hailey,7635,Red,44,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
ethan,3616,Blue,44,Yes,No,No,No,1,4,0,0,1,0,0,1,0,0,0,0,0,0
sarah c,2438,Red,45,Yes,No,No,No,2,3,0,0,0,0,0,0,1,0,0,0,0,0
Courtney,1477,Blue,45,Yes,No,No,No,2,3,0,0,1,0,0,1,0,0,0,0,0,0
skyler,4550,Blue,45,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon,3663,Red,45,Yes,No,No,No,2,1,0,0,4,0,0,1,0,0,0,0,0,0
ethan,744,Blue,45,Yes,No,No,No,1,1,0,0,6,0,0,0,0,1,0,0,0,0
sarah c,1671,Red,46,Yes,No,No,No,2,1,0,0,3,1,0,0,0,1,0,0,0,0
Courtney,2714,Blue,46,Yes,No,No,No,2,1,0,2,5,0,2,1,0,0,0,0,0,0
Jon,1311,Red,46,Yes,No,No,No,0,3,2,0,0,0,0,1,0,0,0,0,0,0
skyler,2976,Blue,46,Yes,No,No,No,1,2,2,2,2,2,1,1,0,0,0,0,0,0
ethan,4087,Blue,46,Yes,No,No,No,2,1,0,0,0,0,0,0,0,1,0,0,0,0
Courtney,7443,Blue,47,Yes,No,No,No,2,3,0,0,0,0,0,0,1,0,0,0,0,0
ethan,3834,Blue,47,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sarah c,6885,Red,47,Yes,No,No,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon,7433,Red,47,Yes,No,No,No,1,0,0,0,4,0,0,1,0,0,0,0,0,0
skyler,6988,Blue,47,Yes,No,No,No,1,0,0,0,3,0,0,1,0,0,0,0,0,0
Courtney,7447,Blue,48,Yes,No,No,No,2,1,0,0,2,0,0,1,0,0,0,0,0,0
sarah c,6413,Red,48,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Jon,4013,Red,48,Yes,No,No,No,2,2,0,0,2,0,0,1,0,0,0,0,0,0
skyler,4183,Blue,48,Yes,No,No,No,1,1,0,0,4,0,0,0,0,1,0,0,0,0
hailey,4020,Red,48,Yes,No,No,No,2,4,0,0,4,0,0,0,0,0,0,0,0,0
ethan,5700,Blue,48,Yes,No,No,No,2,4,0,0,0,0,0,0,0,0,0,0,0,0
Jon,6704,Red,49,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Courtney,3735,Blue,49,Yes,No,No,No,2,3,1,0,1,0,0,1,0,0,0,0,0,0
hailey,7787,Red,49,Yes,No,No,No,1,0,0,0,3,0,0,0,0,0,1,0,0,0
ethan,7461,Blue,49,Yes,No,No,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0
sarah c,2046,Red,49,Yes,No,No,No,2,6,0,0,0,0,0,0,0,0,0,0,0,0
skyler,3635,Blue,49,Yes,No,No,No,1,1,0,0,6,0,0,0,0,0,0,0,0,0
Hailey,2441,Red,47,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Hailey,2710,Red,46,Yes,No,No,No,4,0,0,0,5,0,0,0,1,0,0,0,0,0
Hailey,4192,Red,45,Yes,No,No,No,1,1,0,0,0,0,0,1,1,0,0,0,0,0
skyler,50,Blue,4063,Yes,No,No,No,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Courtney,4499,Blue,50,Yes,No,No,No,2,0,0,0,5,0,0,0,1,0,0,0,0,0
Jon,1987,Red,50,Yes,No,No,No,1,2,0,0,3,0,0,1,0,0,0,0,0,0
ethan,1477,Blue,50,Yes,No,No,No,2,2,0,2,2,0,2,1,0,0,0,0,0,0
sarah c,1072,Red,50,Yes,No,No,No,2,2,0,0,1,0,0,1,0,0,0,0,0,0
Hailey,1425,Red,50,Yes,No,No,No,1,2,0,0,0,0,0,0,0,1,0,0,0,0
Courtney,6485,Blue,51,Yes,No,No,No,2,2,0,0,3,0,0,0,1,0,0,0,0,0
skyler,744,Blue,51,Yes,No,No,No,1,1,0,0,2,0,0,0,0,1,0,0,0,0
sarah c,5013,Red,51,No,No,No,No,0,0,0,0,3,0,0,1,0,0,0,0,0,0
Jon,1899,Red,51,Yes,No,No,No,1,0,0,0,1,0,0,1,0,0,0,0,0,0
ethan,6064,Blue,51,Yes,No,No,No,2,1,0,0,2,0,0,1,0,0,0,0,0,0
Hailey,832,Red,51,Yes,No,No,No,1,4,0,0,1,0,0,1,0,0,0,0,0,0
Jon,5803,Red,52,Yes,No,No,No,2,4,0,0,5,0,0,0,0,1,0,0,0,0
Courtney,2122,Blue,52,Yes,No,No,No,1,2,1,2,1,2,2,0,0,1,0,0,0,0
sarah c,2158,Red,52,Yes,No,No,No,2,3,0,0,4,0,0,0,1,0,0,0,0,0
ethan,59,Blue,52,Yes,No,No,No,2,3,0,0,1,0,0,0,1,0,0,0,0,0
Hailey,7607,Red,52,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon,2046,Red,31,Yes,No,No,No,2,2,2,2,4,2,1,0,1,1,0,0,0,0
Courtney,1987,Blue,31,Yes,No,No,No,2,1,0,0,4,0,0,1,0,0,0,0,0,0
skyler,3946,Blue,null,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0
sarah c,6919,Red,31,Yes,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ethan,4020,Blue,31,Yes,No,No,No,1,2,0,0,3,0,0,0,0,1,0,0,0,0
Hailey,3663,Red,31,Yes,No,No,No,2,2,0,0,6,0,1,0,0,1,0,0,0,0
Sarah,6838,Red,53,No,No,No,No,2,0,0,0,7,0,0,1,0,0,0,0,0,0
Court,3824,Blue,53,Yes,No,No,No,2,1,0,0,2,0,0,1,0,0,0,0,0,0
skyler,3663,Blue,53,No,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon,6838,Red,53,Yes,No,No,No,2,0,0,0,5,0,0,1,0,0,0,0,0,0
ethan,3616,Blue,53,Yes,No,No,No,1,2,0,0,1,0,0,1,0,0,0,0,0,0
Sarah,3476,Red,54,Yes,No,No,No,1,6,0,0,3,0,0,0,0,1,0,0,0,0
Court,6907,Blue,54,Yes,No,No,No,1,2,0,0,3,0,0,1,0,0,0,0,0,0
Jon,3476,Red,54,Yes,No,No,No,1,2,2,1,2,2,0,0,0,1,0,0,0,0
ethan,4550,Blue,54,Yes,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0STOPPER
Sarah,4910,Red,55,Yes,No,No,No,0,1,1,1,0,0,0,0,0,1,0,0,0,0
skyler,6934,Blue,55,Yes,No,No,No,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Jon,4910,Red,55,Yes,No,No,No,1,1,1,1,0,0,0,0,0,1,0,0,0,0
Court,3794,Blue,55,No,No,No,No,2,1,1,0,0,0,0,1,0,0,0,0,0,0
hailey,3949,Red,55,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
Jon,5022,Red,56,Yes,No,No,No,1,2,0,0,3,0,0,1,0,0,0,0,0,0
Sarah,5022,Red,56,Yes,No,No,No,1,3,0,0,1,0,0,1,0,0,0,0,0,0
hailey,7451,Red,56,Yes,No,No,No,2,3,1,0,0,0,0,1,0,0,0,0,0,0
ethan,6919,Blue,56,Yes,No,No,No,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Jon,2637,Red,57,Yes,No,No,No,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Zac,4499,Blue,57,Yes,No,No,No,1,3,0,0,5,0,0,0,1,0,0,0,0,0
bella,744,Red,57,Yes,No,No,No,1,2,1,0,2,0,0,0,0,0,0,0,0,0
Mikayla,2992,Blue,57,Yes,No,No,No,2,4,0,0,3,0,0,0,0,1,0,0,0,0
Alyssa,2714,Red,57,Yes,No,No,No,2,1,0,2,2,0,2,0,0,0,0,0,0,0
JVD,7635,Blue,57,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Mikayla,7607,Blue,58,Yes,No,No,No,2,0,0,0,1,0,0,0,0,0,1,1,0,0
Mikayla,7607,Blue,58,Yes,No,No,No,2,0,0,0,1,0,0,1,0,0,1,0,0,0
Zac,2976,Blue,58,Yes,No,No,No,1,2,0,0,0,0,0,0,0,0,1,0,0,0
Alyssa,1899,Red,58,Yes,No,No,No,1,0,0,0,2,0,0,1,0,0,0,0,0,0
Jon,1425,Red,58,Yes,No,No,No,1,2,0,0,6,0,0,1,0,0,0,0,0,0
Jon,6907,Red,59,Yes,No,No,No,1,2,0,0,4,0,0,0,1,0,0,0,0,0
Alyssa,7461,Red,59,Yes,No,No,No,2,0,0,0,2,0,0,0,0,0,0,0,0,0STOPPER
bella,5887,Red,59,Yes,No,No,No,2,0,0,0,6,0,0,1,0,0,0,0,0,0
bella,6067,Red,60,Yes,No,No,No,2,1,0,0,1,0,0,0,0,0,1,0,0,0
JVD,4910,Blue,60,Yes,No,No,No,1,3,1,0,4,0,0,0,1,0,0,0,0,0
Jon,6506,Red,60,Yes,No,No,No,2,0,0,0,2,0,0,1,0,0,0,0,0,0
Mikayla,2438,Blue,60,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,1,0,0,0
Zac,4063,Blue,60,No,No,No,No,1,1,0,0,3,0,0,0,0,0,0,0,0,0
Mikayla,1072,Blue,59,Yes,No,No,No,2,2,2,0,2,0,0,1,0,0,0,0,0,0
Zac,59,Blue,59,Yes,No,No,No,2,2,0,1,2,0,0,1,0,0,0,0,0,0
Zac,7443,Blue,61,Yes,No,No,No,2,2,0,0,0,0,0,0,1,0,0,0,0,0
Mikayla,6919,Blue,61,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
bella,7121,Red,61,Yes,No,No,No,2,0,0,0,8,0,0,1,0,0,0,0,0,0
Jon,2122,Red,61,Yes,No,No,No,1,1,2,2,1,0,0,0,0,1,0,0,0,0
Mikayla,2637,Blue,62,Yes,No,No,No,1,1,0,0,2,0,0,1,0,0,0,0,0,0
Jon,3616,Red,62,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,7451,Red,62,No,No,No,No,2,3,0,0,0,0,0,0,0,1,0,0,0,0
Zac,4020,Blue,62,Yes,No,No,No,2,3,0,0,5,0,0,0,0,1,0,0,0,0
bella,6988,Red,62,Yes,No,No,No,1,0,0,0,6,0,0,1,0,0,0,0,0,0
JVD,6934,Blue,62,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Mikayla,2710,Blue,63,Yes,No,No,No,2,1,0,0,2,0,0,0,1,0,0,0,0,0
bella,5022,Red,63,No,No,No,No,1,1,0,0,7,0,0,1,0,0,0,0,0,0
Jon,4192,Red,63,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,7427,Red,63,No,No,No,No,0,4,0,0,0,0,0,1,0,0,0,0,0,0
Zac,2158,Blue,63,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
JVD,3476,Blue,63,No,No,No,No,1,2,2,1,2,2,0,0,0,1,0,0,0,0
Mikayla,6838,Blue,64,Yes,No,No,No,1,0,0,0,2,0,0,1,0,0,0,0,0,0
Zac,3663,Blue,64,Yes,No,No,No,2,4,0,0,7,0,0,0,0,1,0,0,0,0
Jon,5700,Red,64,Yes,No,No,No,2,2,0,0,5,0,0,0,0,0,0,0,0,0
bella,6485,Red,64,No,No,No,No,2,0,2,2,0,2,1,0,0,1,0,0,0,0
Alyssa,691,Red,64,Yes,No,No,No,1,2,2,0,0,0,0,1,0,0,0,0,0,0
JVD,2441,Blue,64,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon,4013,Red,65,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
bella,6704,Red,65,Yes,No,No,No,1,2,0,0,0,0,0,1,0,0,0,0,0,0
JVD,3834,Blue,65,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
JVD,3834,Blue,65,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
JVD,3834,Blue,65,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mikayla,3946,Blue,65,Yes,No,No,No,2,0,0,0,3,0,0,0,0,0,0,0,0,1
Jon,6814,Red,66,Yes,No,No,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Zac,4043,Blue,66,Yes,No,No,No,2,4,0,0,1,0,0,1,0,0,0,0,0,0
bella,2046,Red,66,Yes,No,No,No,2,2,2,2,3,0,0,1,0,0,0,0,0,0STOPPER
Alyssa,1477,Red,66,Yes,No,No,No,2,2,1,2,1,0,2,0,0,1,0,0,0,0
Zac,3824,Blue,65,Yes,No,No,No,2,5,0,0,0,0,0,0,0,1,0,0,0,0
Zac,3794,Blue,67,Yes,No,No,No,2,6,0,0,0,0,0,1,0,0,0,0,0,0
JVD,7787,Blue,67,Yes,No,No,No,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Jon,1311,Red,67,Yes,No,No,No,2,3,2,1,2,0,0,0,0,0,0,0,0,0
Alyssa,4183,Red,67,No,No,No,No,1,2,0,0,2,0,0,0,0,1,0,0,0,0
Mikayla,4550,Blue,67,Yes,No,No,No,2,0,0,0,5,0,0,1,0,0,0,0,0,0
bella,2714,Red,67,Yes,No,No,No,2,1,0,0,3,1,2,0,0,0,0,0,0,0
Jon,7635,Red,68,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikayla,2357,Blue,68,Yes,No,No,No,0,2,0,0,3,0,0,1,0,0,0,0,0,0
bella,832,Red,68,No,No,No,No,1,1,0,0,2,0,0,0,1,0,0,0,0,0
Alyssa,5803,Red,68,No,No,Yes,No,2,2,0,0,4,0,0,0,0,1,0,0,0,0
Zac,6413,Blue,68,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,1,0,0,0
JVD,1987,Blue,68,Yes,No,No,No,2,2,1,0,6,0,0,1,0,0,0,0,0,0
Jon,7607,Red,69,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
Zac,744,Blue,69,Yes,No,No,No,1,0,0,0,3,0,0,1,0,0,0,0,0,0
Mikayla,6506,Blue,69,Yes,No,No,No,2,0,0,0,4,0,0,1,0,0,0,0,0,0
JVD,4020,Blue,69,Yes,No,No,No,2,2,1,0,1,0,0,0,0,1,0,0,0,0
isabella,7443,Red,69,Yes,No,No,No,2,3,0,0,0,0,0,1,0,0,0,0,0,0
Alyssa,2441,Red,69,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Jon,3834,Red,70,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
JVD,1425,Blue,70,Yes,No,No,No,1,1,0,0,0,0,0,0,0,1,1,0,0,0
Alyssa,3616,Red,70,Yes,No,No,No,2,6,0,0,0,0,0,1,0,0,0,0,0,0
JVD,1425,Blue,70,Yes,No,No,No,1,1,0,0,0,0,0,0,0,1,1,0,0,0
Zac,6919,Blue,70,Yes,No,No,No,1,4,0,0,0,0,0,0,0,1,0,0,0,0
Mikayla,7461,Blue,70,Yes,No,No,No,2,2,0,0,1,0,0,0,1,0,0,0,0,0
Antonio,1072,Red,71,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Grant Cozzi,4192,Blue,71,Yes,No,No,No,2,1,0,0,0,0,0,0,1,0,0,0,0,0
Kelly,2992,Red,71,Yes,No,No,No,2,1,0,0,1,0,0,0,0,1,0,0,0,0
Court,4043,Red,70,Yes,No,No,No,1,3,0,0,5,0,0,1,0,0,0,0,0,0
hailey,4910,Blue,71,Yes,No,No,No,2,2,2,2,0,2,2,0,0,1,0,0,0,0
Daph,3635,Blue,71,No,No,No,No,0,1,0,0,7,0,0,1,0,0,0,0,0,0
Daph,3635,Blue,71,No,No,No,No,0,1,0,0,7,0,0,1,0,0,0,0,0,0
Antonio,7427,Red,72,No,No,No,No,1,0,0,0,4,0,0,1,0,0,0,0,0,0
Court,7447,Red,72,Yes,No,No,No,1,1,0,0,4,0,0,1,0,0,0,0,0,0
Kelly,4499,Red,72,Yes,No,No,No,2,4,0,0,1,0,0,0,1,0,0,0,0,0
Grant Cozzi,3663,Blue,72,Yes,No,No,No,2,4,1,0,4,0,0,0,0,1,0,0,0,0
Daph,7787,Blue,72,No,No,No,No,1,1,0,0,7,0,0,1,0,0,0,0,0,0
hailey,6814,Blue,72,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,5700,Red,73,Yes,No,No,No,1,4,0,0,3,0,0,0,1,0,0,0,0,0
Court,2357,Red,73,Yes,No,No,No,1,1,0,0,3,0,0,1,0,0,0,0,0,0
Daph,6934,Blue,73,Yes,No,No,No,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Cozzi,1311,Blue,73,Yes,No,No,No,2,2,0,0,7,0,0,1,0,0,0,0,0,0
Antonio,2438,Red,74,Yes,No,No,No,0,4,0,0,0,0,0,0,1,0,0,0,0,0
Daph,4183,Blue,74,No,No,No,No,1,2,0,0,4,0,0,0,0,1,0,0,0,0
Kelly,7433,Red,74,Yes,No,No,No,1,1,0,0,4,2,0,0,0,1,0,0,0,0
Grant Cozzi,6885,Blue,74,No,No,No,No,1,0,0,0,0,0,0,1,0,0,1,0,0,0
hailey,7121,Blue,74,No,No,No,No,2,3,0,0,6,0,0,0,1,0,0,0,0,0
Court,1987,Red,74,Yes,No,No,No,2,2,4,0,0,1,0,1,0,0,0,0,0,0
Kelly,5803,Red,75,Yes,No,No,No,1,3,0,0,0,0,0,0,0,1,0,0,0,0
Antonio,2714,Red,75,Yes,No,No,No,2,0,0,2,3,0,2,0,0,1,0,0,0,0
Court,2122,Red,75,Yes,No,No,No,1,2,2,1,2,2,0,1,0,0,0,0,0,0
Grant Cozzi,3476,Blue,75,Yes,No,No,No,1,2,2,2,3,2,0,1,0,0,0,0,0,0
hailey,6064,Blue,75,Yes,No,No,No,2,0,0,0,1,0,0,0,1,0,0,0,0,0
Antonio,3735,Red,76,Yes,No,No,No,2,1,0,0,2,0,0,0,1,0,0,0,0,0
Daph,5887,Blue,76,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
Kelly,2710,Red,76,Yes,No,No,No,1,0,0,0,6,0,0,0,1,0,0,0,0,0
hailey,5013,Blue,76,Yes,No,No,No,1,1,0,0,2,0,0,1,0,0,0,0,0,0
Grant Cozzi,4013,Blue,76,Yes,No,No,No,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Court,7451,Red,76,Yes,No,No,No,2,4,2,1,0,0,0,0,0,0,0,0,0,0
Court,4063,Red,77,No,No,No,No,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Antonio,2637,Red,76,Yes,No,No,No,2,0,0,0,3,0,0,1,0,0,0,0,0,0
Kelly,832,Red,77,Yes,No,No,No,1,1,0,0,2,0,0,0,1,0,0,0,0,0STOPPER
Grant Cozzi,2046,Blue,77,Yes,No,No,No,2,2,1,0,3,0,0,0,0,1,0,0,0,0
hailey,1671,Blue,77,Yes,No,No,No,1,2,0,0,2,0,0,0,1,0,0,0,0,0
Daph,4087,Blue,78,Yes,No,No,No,2,1,0,0,0,0,0,0,0,1,0,0,0,0
Antonio,2976,Red,78,Yes,No,No,No,1,2,0,0,5,0,0,1,0,0,0,0,0,0
Court,6413,Red,78,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Grant Cozzi,4550,Blue,78,Yes,No,No,No,1,3,1,0,5,0,0,1,0,0,0,0,0,0
hailey,5022,Blue,78,Yes,No,No,No,1,1,0,0,3,0,0,1,0,0,0,0,0,0
Court,6413,Red,78,Yes,No,No,No,2,0,0,0,0,0,0,1,0,0,0,0,0,0
